CGPA,Internships,Projects,Certifications,Aptitude_Score,Technical_Skill,Coding_Skill,Communication_Skill,Soft_Skill,Backlogs,Extracurricular_Score,Leadership_Score,LinkedIn_GitHub_Activity,Placement_Training,Gender,Branch,Placed,Package_LPA
5.79,2,2,2,85.6,6.1,5.8,6.0,5.7,1,3.3,4.5,7.0,Yes,Female,CSE,0,0.0
6.93,1,4,3,59.9,6.5,3.8,4.7,4.7,2,5.9,4.7,4.3,Yes,Male,ECE,0,0.0
8.49,1,2,1,50.2,5.5,5.9,4.4,4.8,0,5.3,10.0,8.2,Yes,Female,CIVIL,1,10.58
7.46,3,2,2,71.6,7.7,6.6,5.6,6.5,1,7.1,5.2,3.5,Yes,Male,CSE,0,0.0
6.32,1,2,2,71.1,5.7,2.8,10.0,6.1,0,4.6,6.3,4.0,Yes,Female,ECE,0,0.0
6.68,0,2,0,46.4,4.6,8.9,7.3,7.0,0,6.6,0.8,4.9,Yes,Female,CIVIL,1,8.33
8.08,0,4,4,63.1,7.2,9.2,4.7,6.2,0,4.5,3.3,7.1,No,Female,ECE,1,15.24
6.67,1,0,3,62.6,9.2,6.0,8.2,4.8,2,3.2,6.1,5.1,Yes,Female,CSM (AI/ML),0,0.0
7.62,2,4,3,61.6,4.3,5.4,4.4,6.6,0,4.4,1.6,5.3,No,Female,IT,0,0.0
7.45,1,1,2,88.0,6.0,5.8,8.7,6.6,0,2.3,6.2,4.3,Yes,Female,CSE,0,0.0
6.75,0,1,3,61.7,7.9,7.5,5.1,6.3,0,9.1,3.5,5.8,No,Male,CSE,1,9.4
9.54,1,4,1,59.9,7.1,6.7,6.6,6.5,1,5.8,2.8,5.0,Yes,Male,CIVIL,1,12.3
8.03,1,2,1,51.1,7.2,6.3,9.5,9.1,2,3.9,3.5,3.4,Yes,Male,CSM (AI/ML),0,0.0
5.37,0,6,1,48.8,6.2,8.4,5.9,4.6,0,4.7,8.2,5.5,No,Male,MECH,1,8.84
7.59,1,4,3,68.3,1.9,7.9,9.2,5.0,0,0.6,5.7,5.5,Yes,Male,CSM (AI/ML),1,7.94
6.74,0,3,2,54.5,6.6,4.0,6.3,3.9,0,8.4,3.1,10.0,Yes,Male,MECH,0,0.0
8.25,1,3,2,59.0,6.8,7.5,6.3,6.4,0,8.2,6.6,3.8,Yes,Female,EEE,0,0.0
6.61,1,3,4,65.2,8.0,8.0,5.1,3.6,0,5.7,6.7,3.3,Yes,Male,ECE,1,13.99
7.29,0,2,3,63.0,5.0,6.3,8.5,6.6,1,6.1,4.2,5.8,No,Male,ECE,0,0.0
7.9,1,4,1,64.2,8.9,6.9,5.7,6.2,1,3.0,7.0,2.9,No,Male,CSE,0,0.0
8.27,1,2,1,64.1,5.7,5.2,9.3,5.5,0,3.1,7.1,2.7,Yes,Male,CSE,0,0.0
6.2,0,2,2,72.0,5.4,3.5,5.5,7.0,0,2.1,6.8,1.9,Yes,Female,EEE,0,0.0
7.07,1,1,1,100.0,5.0,9.4,5.7,6.7,0,5.2,3.6,3.4,Yes,Male,CIVIL,1,11.58
6.93,3,2,1,81.7,7.9,3.3,7.9,8.5,0,7.6,2.5,3.5,Yes,Male,MECH,1,5.65
6.75,0,5,1,56.2,4.4,9.0,6.2,7.2,1,4.7,1.4,2.2,Yes,Female,CIVIL,0,0.0
9.17,0,4,0,81.4,7.2,5.7,6.8,6.2,1,6.2,3.6,4.6,No,Male,CIVIL,1,9.37
7.8,3,1,1,45.1,4.9,8.2,4.4,3.1,2,7.5,4.2,0.0,Yes,Male,MECH,0,0.0
6.14,1,1,2,52.9,6.1,5.8,6.6,7.6,3,2.3,4.4,6.3,No,Male,CIVIL,0,0.0
8.32,3,0,2,73.3,3.8,7.6,7.0,7.6,0,9.2,4.9,3.9,Yes,Female,CSE,1,9.67
9.52,2,1,2,72.8,7.5,6.7,9.0,8.2,2,7.8,8.6,4.3,No,Female,MECH,1,10.71
8.43,4,3,1,71.6,6.0,4.5,5.7,3.1,1,6.5,4.3,6.5,No,Female,MECH,1,10.31
5.88,0,2,4,52.6,7.1,6.1,6.9,6.6,0,7.3,4.9,6.1,Yes,Male,CSE,0,0.0
6.92,1,4,2,52.7,5.9,5.5,8.2,7.2,1,7.4,1.2,3.8,No,Male,CIVIL,1,6.87
8.67,2,3,1,64.1,7.0,7.0,6.5,8.0,1,6.1,9.7,6.2,Yes,Male,CSE,0,0.0
6.69,1,3,0,58.0,6.1,6.1,8.0,7.1,0,8.4,2.2,8.8,Yes,Male,CSM (AI/ML),1,8.75
7.84,1,6,1,76.2,7.4,6.3,10.0,6.4,0,4.6,3.5,2.9,Yes,Male,CSE,1,12.48
8.17,1,2,0,57.6,7.1,3.9,6.4,4.9,1,6.4,6.5,6.9,Yes,Male,ECE,1,7.67
6.47,1,6,1,57.1,6.5,3.4,8.4,6.1,0,8.1,5.5,2.6,Yes,Female,CSM (AI/ML),1,7.86
7.34,1,1,1,36.0,4.8,5.9,7.2,6.8,2,0.1,8.5,7.9,Yes,Female,EEE,0,0.0
4.5,2,4,3,76.0,5.5,6.1,7.7,7.4,0,6.4,6.5,3.6,Yes,Male,MECH,1,6.19
6.38,0,0,2,67.2,5.0,3.8,7.5,4.1,0,6.9,4.8,3.5,Yes,Female,MECH,0,0.0
7.15,0,2,2,25.4,8.5,6.9,8.0,6.7,1,2.1,7.2,7.8,No,Female,MECH,1,8.65
6.15,1,5,0,69.1,7.4,7.0,7.9,4.2,1,6.1,7.4,6.9,No,Female,CSE,1,8.88
9.03,2,1,1,55.6,6.3,6.1,6.3,6.7,0,3.9,3.6,3.6,Yes,Male,CSM (AI/ML),1,12.59
5.97,0,4,2,74.4,5.3,5.8,5.6,4.7,0,6.3,7.0,5.5,No,Female,MECH,0,0.0
6.96,1,1,1,60.3,4.9,3.4,7.0,4.3,0,5.3,4.5,3.6,No,Female,EEE,1,2.62
7.53,2,4,1,49.1,6.4,3.4,4.2,8.8,0,3.6,4.8,1.5,Yes,Female,EEE,0,0.0
8.84,3,3,1,89.7,9.1,6.5,7.3,4.4,1,7.7,5.3,5.6,Yes,Female,CSE,1,15.55
5.96,0,1,1,87.2,6.2,4.2,7.5,5.4,0,4.7,4.2,4.4,No,Male,CSM (AI/ML),1,2.5
8.56,0,0,1,59.0,8.1,4.4,6.1,6.3,0,6.0,4.1,3.0,No,Male,IT,1,8.46
7.41,1,2,1,68.0,6.6,6.3,6.5,3.4,1,8.1,7.1,8.2,No,Female,CIVIL,0,0.0
6.42,2,2,0,54.7,7.1,9.7,7.8,7.4,3,3.7,1.8,3.1,Yes,Male,CSE,0,0.0
7.86,1,2,3,34.7,5.4,5.0,7.5,5.3,0,5.5,2.8,5.5,No,Male,ECE,1,7.45
7.6,1,3,2,83.1,5.9,9.7,7.8,4.9,0,4.5,6.4,7.7,Yes,Male,ECE,1,11.77
6.8,0,1,2,49.2,4.9,5.7,7.6,7.6,0,5.0,4.8,4.6,No,Female,CSM (AI/ML),1,5.22
7.47,0,1,3,82.4,6.7,6.9,6.6,4.4,0,9.8,7.1,3.5,No,Male,ECE,0,0.0
7.01,1,1,1,73.2,5.8,7.6,6.4,6.9,1,6.4,5.8,5.9,Yes,Female,EEE,1,11.03
7.51,1,3,1,66.6,6.8,7.8,7.0,6.3,1,6.1,2.2,6.2,No,Female,IT,0,0.0
8.06,2,2,3,61.3,4.6,6.4,8.6,6.4,0,6.5,5.1,7.2,No,Male,CIVIL,1,9.15
8.99,1,1,1,73.2,6.9,5.4,6.8,6.2,0,6.4,6.1,9.5,Yes,Female,CIVIL,1,8.44
6.16,1,0,5,47.1,6.5,7.4,8.4,6.5,1,1.8,5.5,4.1,Yes,Male,EEE,1,9.01
9.53,0,3,0,83.4,6.4,6.6,3.4,3.1,2,10.0,4.0,5.7,No,Male,CSE,1,9.33
5.45,0,5,1,64.3,6.8,5.0,6.9,5.1,0,2.6,4.4,2.3,No,Female,CSM (AI/ML),0,0.0
7.25,2,3,1,85.9,5.8,8.5,6.5,5.0,1,9.0,3.8,6.7,No,Male,ECE,0,0.0
7.99,4,5,2,60.0,10.0,6.7,3.9,7.9,0,6.7,2.2,5.6,Yes,Male,CIVIL,1,17.64
7.68,2,3,2,64.3,6.9,4.4,4.1,6.5,0,5.9,1.9,4.8,Yes,Male,IT,0,0.0
6.78,0,2,1,66.2,6.4,4.2,7.1,6.3,1,4.9,5.8,3.8,Yes,Female,CSM (AI/ML),0,0.0
7.19,0,2,1,71.2,7.4,9.5,6.6,8.9,2,10.0,3.2,4.4,No,Male,CSM (AI/ML),0,0.0
6.91,2,1,3,91.0,5.4,4.9,7.6,3.5,0,6.7,6.2,5.7,No,Male,CSM (AI/ML),1,6.49
6.81,1,3,1,55.0,5.3,7.2,2.5,8.3,1,5.5,3.8,3.0,No,Female,ECE,1,9.62
8.25,0,4,5,60.0,7.5,6.5,8.0,6.3,1,4.4,2.2,4.5,No,Male,CSE,1,10.3
7.76,1,3,1,61.7,7.6,7.2,8.0,5.2,1,4.2,4.1,5.2,Yes,Male,CIVIL,1,10.5
6.71,0,3,3,25.0,8.1,9.4,4.3,5.6,1,5.6,9.4,1.7,Yes,Female,CSM (AI/ML),0,0.0
8.3,2,5,3,53.1,3.9,7.7,8.5,5.6,0,3.6,4.8,2.8,No,Female,IT,1,13.11
7.71,2,3,1,54.2,6.0,7.4,9.1,8.4,0,6.9,6.4,3.7,No,Female,CSE,1,11.28
8.21,0,5,1,100.0,6.7,5.4,4.4,6.6,0,4.2,5.4,8.8,Yes,Female,CSE,1,8.77
8.03,1,5,1,66.1,7.4,4.5,6.6,7.3,0,7.5,2.0,3.3,Yes,Male,ECE,0,0.0
6.57,3,2,1,69.9,7.0,10.0,6.7,5.3,1,7.5,8.0,5.1,Yes,Female,CIVIL,1,14.76
6.84,2,0,2,38.5,4.8,5.7,3.7,6.5,1,5.4,4.5,2.8,Yes,Male,CSM (AI/ML),0,0.0
8.15,0,3,3,61.0,7.0,5.6,5.9,7.6,0,6.7,2.2,3.4,Yes,Male,MECH,1,8.05
8.01,0,4,2,77.0,6.7,6.3,8.5,7.9,0,6.8,3.9,1.9,Yes,Male,CSM (AI/ML),1,11.56
7.38,1,2,0,100.0,6.7,6.2,5.1,4.4,0,2.6,4.6,6.7,Yes,Female,CIVIL,1,6.82
7.52,0,4,0,51.1,4.4,8.8,9.1,7.4,0,9.0,6.6,2.2,Yes,Male,CSE,1,10.9
8.68,1,0,0,33.0,4.7,6.8,7.0,6.1,0,5.0,3.6,7.3,No,Male,ECE,0,0.0
6.81,1,1,4,49.6,9.1,3.3,5.2,6.8,0,6.9,10.0,6.3,Yes,Male,CSE,0,0.0
7.95,2,2,0,49.7,7.8,4.5,6.5,5.6,0,6.9,3.0,5.0,Yes,Male,CSE,0,0.0
7.2,1,2,0,49.8,6.1,5.8,4.2,8.4,0,0.5,6.3,7.4,Yes,Female,CSM (AI/ML),1,6.78
7.18,1,2,1,76.5,6.1,7.7,7.0,6.7,0,4.2,0.9,10.0,Yes,Male,CSM (AI/ML),1,11.09
8.5,0,4,3,67.5,9.8,2.9,6.1,5.5,1,7.2,4.7,6.3,Yes,Female,MECH,0,0.0
8.23,0,4,2,43.9,6.3,6.7,5.8,5.6,0,5.6,5.8,2.6,Yes,Female,MECH,0,0.0
8.21,1,1,1,84.7,6.0,7.2,4.2,7.5,0,6.9,2.6,8.6,Yes,Female,CSM (AI/ML),1,9.71
8.71,1,0,0,92.3,4.9,7.5,6.3,7.3,0,5.7,8.1,5.6,Yes,Female,IT,1,9.0
7.42,1,2,1,34.7,5.8,5.6,6.7,6.4,1,8.0,5.9,10.0,Yes,Male,IT,0,0.0
8.08,1,3,2,80.8,3.5,7.8,4.3,5.8,0,5.7,4.3,4.0,Yes,Male,CIVIL,0,0.0
7.09,1,1,1,59.3,7.0,4.3,8.0,7.6,1,8.3,5.9,8.1,No,Female,ECE,0,0.0
7.72,1,2,1,46.9,8.2,7.6,6.8,5.6,0,3.5,3.8,5.2,No,Female,CSM (AI/ML),1,11.03
7.27,3,1,2,38.7,8.2,5.7,5.1,5.5,0,5.2,7.6,10.0,Yes,Male,CSM (AI/ML),0,0.0
7.5,1,2,1,54.8,5.1,5.9,6.3,9.8,0,4.3,7.1,4.6,No,Female,CSE,0,0.0
8.0,0,1,1,53.7,2.5,5.9,7.7,6.8,0,6.3,5.8,10.0,Yes,Male,EEE,0,0.0
6.58,3,2,0,64.4,6.7,7.0,8.5,6.2,1,4.9,6.3,6.2,Yes,Male,ECE,1,11.58
9.49,0,4,2,96.3,8.3,3.7,8.8,5.7,1,5.0,1.9,7.1,Yes,Male,EEE,0,0.0
6.39,1,4,0,53.9,3.6,7.5,9.1,6.0,1,4.1,8.1,9.1,No,Male,ECE,1,4.89
6.19,3,3,3,39.5,5.6,7.5,4.4,8.0,1,4.6,4.8,3.4,Yes,Male,CSE,0,0.0
8.56,1,1,1,56.7,6.8,5.2,5.3,7.5,0,5.5,7.2,7.4,Yes,Male,EEE,1,10.28
8.19,2,2,1,78.7,4.9,5.8,4.3,5.4,2,1.5,6.6,4.5,Yes,Male,CSM (AI/ML),0,0.0
8.02,1,0,2,58.0,3.4,4.2,8.0,5.8,0,0.9,7.1,5.5,Yes,Female,ECE,0,0.0
8.03,0,2,0,72.4,5.0,3.6,6.1,4.5,1,5.6,2.8,5.4,No,Male,CSM (AI/ML),0,0.0
7.39,0,1,3,64.7,5.3,6.2,8.3,6.7,1,0.0,3.1,6.5,No,Male,CSE,1,7.22
6.5,1,1,2,63.0,3.2,6.2,4.3,1.0,1,5.1,9.7,6.4,Yes,Female,CIVIL,0,0.0
7.48,2,3,4,87.4,7.9,5.2,5.4,4.1,0,4.7,1.8,3.9,No,Male,CSE,0,0.0
6.72,1,2,1,46.5,8.7,3.4,5.2,6.4,0,6.6,2.7,5.5,No,Female,ECE,0,0.0
8.38,0,2,1,45.3,6.2,6.7,8.3,2.6,0,4.2,5.1,0.0,Yes,Female,CIVIL,1,10.0
7.25,1,3,2,47.5,7.4,5.1,7.5,9.5,0,8.6,5.1,7.5,Yes,Male,CSE,1,8.87
6.57,1,1,2,67.5,3.8,4.4,3.4,5.1,1,7.2,3.9,9.1,Yes,Male,CSM (AI/ML),0,0.0
7.08,2,6,1,62.9,6.0,8.2,5.7,7.0,0,2.5,6.3,5.6,No,Male,CSM (AI/ML),1,13.97
7.81,3,3,2,73.4,5.3,3.9,7.8,8.1,0,4.9,6.9,1.5,No,Female,CSE,1,7.94
6.84,4,5,1,60.8,6.9,6.9,8.1,6.7,1,8.6,5.0,6.9,Yes,Female,CSM (AI/ML),1,12.28
6.58,1,1,1,58.9,1.9,3.0,7.0,6.3,3,4.1,4.4,3.4,Yes,Male,ECE,0,0.0
7.64,2,4,1,67.3,5.7,3.1,6.7,5.5,1,5.4,5.0,5.6,Yes,Male,CSE,0,0.0
7.64,2,1,4,89.1,7.2,6.7,5.0,4.5,1,8.3,4.0,6.8,Yes,Male,ECE,1,12.1
6.89,3,2,3,43.4,6.6,5.2,8.0,5.6,1,4.4,1.4,6.5,Yes,Female,CSE,1,11.72
6.93,2,1,2,47.3,7.5,3.6,4.6,6.4,0,7.7,5.6,7.7,Yes,Male,CIVIL,1,7.69
7.63,2,3,4,62.7,5.2,7.6,4.0,6.3,0,3.7,6.6,5.5,Yes,Female,EEE,0,0.0
5.95,0,3,2,94.5,1.7,6.5,6.7,5.0,0,0.0,4.7,5.6,Yes,Female,CSE,1,4.2
5.99,1,3,3,44.9,8.0,1.8,5.7,7.8,2,8.0,0.2,6.9,Yes,Female,MECH,0,0.0
6.68,0,0,3,61.8,7.4,7.6,7.5,4.3,0,6.4,3.8,5.0,Yes,Female,CSM (AI/ML),1,8.91
7.19,0,2,3,48.0,8.7,3.8,7.1,7.1,0,6.5,6.9,3.6,Yes,Male,CSE,0,0.0
7.71,0,2,4,68.4,6.3,2.6,9.0,7.5,0,3.3,2.0,6.2,Yes,Female,CSE,0,0.0
8.88,3,2,1,29.0,6.9,4.2,7.0,6.6,0,3.5,6.5,2.6,Yes,Female,ECE,1,10.85
8.26,1,3,3,45.4,9.9,5.7,8.0,8.6,1,7.8,4.1,5.0,Yes,Male,CSE,1,13.3
7.24,2,4,1,82.5,3.2,5.9,5.1,6.9,2,6.0,5.0,2.0,No,Male,CSE,0,0.0
7.38,1,2,4,62.1,6.9,2.7,7.5,8.2,1,5.3,3.6,3.9,No,Male,EEE,0,0.0
6.4,1,2,0,50.1,8.1,3.1,6.0,2.6,0,5.9,2.6,4.0,Yes,Female,IT,1,6.36
7.38,2,4,4,61.3,6.5,4.4,5.7,7.6,1,8.5,8.0,2.9,Yes,Female,ECE,0,0.0
7.11,0,2,4,61.0,6.3,4.5,5.0,7.1,0,6.9,6.7,7.7,Yes,Female,CSM (AI/ML),0,0.0
7.72,1,2,2,71.0,3.8,7.2,8.7,7.0,0,4.6,6.4,7.5,No,Female,IT,1,8.2
6.57,1,2,0,28.8,8.5,5.0,6.4,7.2,1,2.7,6.9,8.2,Yes,Male,CSE,1,6.93
7.92,0,1,0,45.4,7.9,7.2,5.2,5.6,1,6.7,6.1,4.8,No,Female,CSE,1,10.66
8.93,1,0,2,46.7,8.3,7.9,7.4,7.4,1,3.7,7.0,4.2,Yes,Female,CIVIL,0,0.0
7.29,0,2,0,72.1,6.2,6.9,5.7,8.8,1,3.1,3.6,7.0,No,Male,EEE,0,0.0
7.8,0,5,2,61.9,5.7,1.0,5.2,3.7,2,8.1,7.9,5.5,No,Female,CSE,0,0.0
8.09,1,4,2,85.0,6.2,5.2,10.0,8.0,0,7.2,7.7,5.5,No,Male,EEE,1,9.52
7.0,1,3,1,75.3,8.9,5.5,4.6,6.1,0,6.3,5.8,0.0,Yes,Female,MECH,1,10.29
7.62,1,4,1,56.5,5.8,5.7,9.2,5.4,0,3.0,4.4,6.9,No,Male,CSE,1,10.85
7.41,0,1,0,61.2,8.6,1.8,5.2,4.6,0,9.1,2.4,6.6,Yes,Female,CSM (AI/ML),0,0.0
7.5,2,0,2,82.7,6.0,4.3,7.3,6.8,1,7.6,5.5,5.2,Yes,Male,CSE,0,0.0
6.63,0,2,0,84.9,4.8,3.2,6.2,8.5,1,4.9,8.5,7.1,Yes,Male,EEE,0,0.0
7.42,0,1,2,60.5,2.9,4.0,7.5,5.8,0,4.5,2.6,6.6,No,Male,EEE,0,0.0
7.9,2,1,1,46.2,7.1,5.3,4.3,7.2,4,5.7,7.1,3.6,No,Male,CSE,0,0.0
8.85,0,1,1,28.4,7.4,4.4,4.1,6.3,3,4.5,4.0,4.7,Yes,Male,EEE,1,6.07
8.36,3,3,1,28.4,4.4,4.2,7.6,4.0,1,9.9,4.2,2.9,No,Male,EEE,0,0.0
9.55,0,3,1,69.6,8.6,5.4,3.7,6.0,0,4.7,2.5,8.6,Yes,Female,CSE,1,11.34
6.63,1,1,1,69.2,4.0,4.9,4.6,5.4,0,3.4,3.4,7.4,Yes,Male,ECE,1,4.88
8.27,0,2,2,51.2,7.3,6.2,6.3,4.9,1,8.7,6.4,3.3,Yes,Male,ECE,1,8.9
7.58,1,2,2,82.8,7.4,5.0,4.5,5.7,1,4.4,6.6,6.6,Yes,Female,CSM (AI/ML),1,7.68
9.59,1,1,2,58.7,7.9,2.8,4.6,5.9,0,7.1,5.5,5.8,Yes,Female,CIVIL,1,9.37
6.59,0,2,0,52.6,3.0,3.8,5.8,7.7,0,6.9,3.9,3.6,No,Male,CSM (AI/ML),0,0.0
6.56,1,4,4,80.7,7.9,5.2,3.1,6.3,0,5.4,2.7,5.5,Yes,Male,CSE,1,10.63
6.8,2,4,3,78.6,6.0,4.9,4.3,4.3,1,3.6,5.1,7.2,Yes,Male,EEE,1,7.25
5.28,1,5,2,61.2,5.7,3.1,8.4,8.0,0,5.4,4.2,7.4,Yes,Male,ECE,1,5.4
6.87,2,1,2,70.3,7.5,7.1,7.8,6.8,0,3.2,5.4,10.0,No,Male,IT,0,0.0
6.64,0,3,0,72.3,7.7,6.4,9.8,6.7,0,5.5,4.3,5.4,No,Female,CSE,1,10.27
7.55,2,2,0,96.8,3.0,4.7,7.3,7.5,1,7.0,4.4,4.7,No,Male,CSM (AI/ML),0,0.0
7.74,0,1,2,59.9,4.1,5.5,8.4,6.3,0,8.9,5.3,6.5,Yes,Male,ECE,1,6.24
9.28,0,1,1,43.1,8.1,3.8,5.8,5.5,0,3.3,5.7,4.8,Yes,Male,CIVIL,1,8.02
8.35,2,2,0,72.0,7.0,7.4,6.1,6.8,1,5.0,7.6,3.9,Yes,Female,CSM (AI/ML),1,11.91
6.82,1,1,2,63.0,6.5,9.7,7.0,7.2,0,4.5,4.3,3.1,Yes,Female,MECH,1,12.0
6.5,1,1,3,63.8,4.6,4.6,3.6,6.8,2,6.0,6.1,0.0,No,Female,CSE,0,0.0
7.89,0,2,1,61.5,6.9,8.1,7.2,7.4,0,2.5,8.8,6.9,Yes,Female,CSM (AI/ML),1,10.88
6.08,1,1,1,36.5,8.2,4.2,5.5,6.4,0,3.6,6.2,1.4,No,Male,CSE,0,0.0
9.23,1,4,1,66.2,9.9,4.8,5.7,4.9,1,2.1,7.4,3.2,No,Female,IT,1,12.54
8.58,1,1,1,56.3,5.6,8.5,7.9,5.4,0,2.6,3.7,5.9,Yes,Female,CSE,1,11.37
6.93,1,1,2,57.1,7.6,5.6,4.1,8.2,0,4.2,3.5,4.5,Yes,Male,CSM (AI/ML),0,0.0
5.69,3,3,3,55.6,9.2,7.1,6.5,6.3,2,8.8,4.7,10.0,Yes,Female,CSE,1,12.9
8.75,0,3,2,61.4,3.9,5.3,7.1,4.7,0,6.2,4.9,1.7,Yes,Male,IT,1,7.53
7.29,0,1,1,66.2,9.1,2.4,5.6,4.6,1,5.6,7.2,10.0,No,Female,EEE,1,5.44
8.64,1,2,2,61.5,6.5,10.0,6.5,4.4,0,8.2,3.5,8.4,Yes,Male,IT,1,16.19
5.81,1,3,2,80.5,6.3,5.4,6.5,7.5,1,6.3,4.8,7.3,No,Male,CSE,1,7.88
6.8,0,2,0,74.1,5.3,6.1,7.7,6.7,0,6.5,7.3,8.5,Yes,Male,CSE,0,0.0
7.41,1,3,1,60.8,5.6,4.4,6.1,8.9,1,4.6,5.5,6.1,Yes,Female,CSM (AI/ML),1,7.15
7.45,0,2,3,45.4,5.0,7.3,4.5,7.1,1,4.2,5.0,1.3,No,Male,EEE,0,0.0
6.95,1,0,2,71.3,4.7,7.1,5.5,7.2,2,2.9,5.5,6.4,Yes,Male,CSM (AI/ML),1,7.32
8.02,2,3,3,57.0,6.9,2.8,5.9,9.1,0,4.3,2.6,1.8,Yes,Female,EEE,1,8.92
6.33,0,1,2,59.3,8.0,6.1,5.2,4.9,0,4.9,2.6,4.0,Yes,Female,CSE,1,8.83
7.26,1,4,0,40.9,4.5,7.5,6.7,4.2,1,6.2,1.7,5.0,Yes,Male,ECE,1,7.73
7.52,3,3,1,68.6,5.1,8.1,6.6,7.1,1,5.4,5.4,3.1,No,Male,CSM (AI/ML),1,10.26
7.91,1,4,4,100.0,6.6,7.0,6.5,6.0,0,4.8,6.9,7.4,No,Female,ECE,1,12.38
8.11,1,3,2,53.9,4.4,7.2,5.1,6.7,0,3.7,6.6,4.7,Yes,Female,ECE,1,8.83
6.28,1,0,2,72.0,6.6,4.8,6.6,8.0,0,6.3,7.4,6.1,Yes,Female,CSE,1,7.43
5.87,0,2,1,81.9,5.8,3.5,8.3,7.4,2,4.5,8.1,5.2,Yes,Female,IT,0,0.0
8.68,1,2,0,53.6,3.6,5.2,6.8,8.4,1,6.2,5.3,5.5,Yes,Male,MECH,1,7.32
7.73,4,2,3,23.2,7.0,3.4,8.0,5.0,2,1.7,4.9,3.2,Yes,Female,CSM (AI/ML),1,8.8
6.65,1,1,1,73.1,5.3,4.4,6.6,7.6,0,6.2,8.1,2.5,Yes,Male,ECE,0,0.0
8.95,1,2,1,63.3,7.8,4.4,5.4,5.2,2,7.0,3.5,4.8,No,Male,CSE,1,8.27
7.52,1,3,2,67.0,5.9,4.0,7.7,8.6,2,6.7,2.5,3.0,No,Male,ECE,0,0.0
8.58,0,3,0,62.9,5.1,6.8,4.3,6.9,1,5.1,4.3,8.4,Yes,Female,CSM (AI/ML),0,0.0
7.47,2,1,3,80.6,6.1,3.9,5.6,7.0,0,7.3,4.0,2.0,Yes,Male,CSM (AI/ML),0,0.0
9.46,3,5,0,60.4,8.2,9.3,6.2,5.5,1,3.0,5.1,10.0,Yes,Female,MECH,1,16.82
9.16,1,0,2,96.7,9.1,7.7,7.4,5.6,0,5.3,3.2,5.9,Yes,Male,CSE,1,13.95
7.15,1,2,1,73.2,7.1,8.1,8.3,6.9,1,5.1,5.8,5.4,No,Female,CSE,1,11.05
8.37,2,0,2,78.2,5.3,4.5,7.7,8.7,2,7.6,3.8,4.0,Yes,Male,ECE,1,7.24
8.05,0,4,2,62.1,6.3,6.2,7.5,8.5,0,1.5,7.6,6.7,Yes,Female,EEE,1,10.03
8.77,1,1,1,67.0,6.0,3.8,7.7,6.8,1,3.4,2.5,4.7,Yes,Female,CSE,1,6.04
6.44,1,2,0,35.0,6.0,6.2,7.9,5.7,0,9.0,4.7,5.9,No,Male,ECE,0,0.0
8.09,0,2,2,52.8,5.8,2.4,4.7,7.1,2,0.6,4.3,7.1,Yes,Female,CSM (AI/ML),0,0.0
8.46,3,1,0,79.2,4.7,7.8,9.7,8.1,1,7.1,5.5,6.7,No,Female,MECH,1,10.5
5.64,2,4,2,60.9,7.8,4.6,8.1,6.6,0,4.1,6.9,8.1,Yes,Male,ECE,0,0.0
6.22,2,5,2,44.0,7.6,6.4,6.1,5.8,1,6.0,5.6,6.4,No,Male,MECH,1,8.56
5.36,0,3,2,51.1,6.2,6.7,7.0,7.3,0,8.3,4.7,3.0,Yes,Female,CSM (AI/ML),0,0.0
7.13,1,1,2,50.9,8.2,4.7,4.4,6.0,2,6.1,6.5,0.4,No,Male,MECH,0,0.0
8.12,1,4,0,61.4,7.1,4.3,6.0,5.8,1,8.4,6.8,5.7,No,Male,EEE,0,0.0
8.9,2,2,0,48.7,4.4,5.6,5.9,6.2,0,4.5,5.6,5.7,Yes,Female,MECH,0,0.0
7.47,0,4,2,84.8,5.6,7.3,5.8,7.2,0,4.8,5.8,9.6,Yes,Male,MECH,1,10.42
9.03,0,2,1,65.3,8.6,5.5,7.6,6.0,0,7.1,6.4,4.9,Yes,Female,ECE,1,8.87
6.02,2,2,1,39.7,5.6,6.9,6.6,6.2,0,4.6,1.5,6.1,No,Male,CSM (AI/ML),1,6.76
5.7,1,2,3,86.6,5.1,7.3,4.6,6.5,1,6.7,4.3,7.0,No,Male,MECH,0,0.0
7.34,2,5,2,61.3,7.4,5.4,4.6,5.8,0,7.9,5.8,6.4,No,Female,CSM (AI/ML),0,0.0
7.78,1,1,3,70.1,5.8,5.6,3.5,8.5,1,7.2,4.4,7.1,No,Female,CSE,0,0.0
7.37,0,6,2,66.9,7.1,6.1,7.7,8.9,1,2.3,4.4,3.3,Yes,Male,CIVIL,1,11.23
5.33,0,5,2,68.7,6.1,8.0,6.1,5.9,0,4.8,5.8,3.0,Yes,Male,CSM (AI/ML),0,0.0
7.31,0,2,1,56.5,4.9,5.1,7.5,5.2,1,6.1,5.8,4.6,Yes,Male,CSE,0,0.0
6.1,1,3,0,67.3,5.1,8.0,10.0,5.7,0,5.0,6.0,0.2,Yes,Female,EEE,1,9.54
8.07,1,3,1,59.6,3.5,6.3,5.1,6.9,0,5.7,3.3,5.1,Yes,Male,CIVIL,0,0.0
7.77,0,4,2,67.8,4.4,4.4,6.9,6.2,0,6.1,2.0,3.7,No,Male,CIVIL,1,7.33
6.46,2,2,3,59.0,7.2,5.7,8.6,4.5,1,4.4,6.7,5.9,No,Female,ECE,1,10.59
